"GeneID" "Cluster" "Name"
"184" "YBL051C" "insignificant" "PIN4"
"185" "YBL052C" "insignificant" "SAS3"
"186" "YBL053W" "insignificant" ""
"187" "YBL054W" "insignificant" "TOD6"
"188" "YBL055C" "insignificant" ""
"189" "YBL056W" "insignificant" "PTC3"
"190" "YBL057C" "insignificant" "PTH2"
"191" "YBL058W" "insignificant" "SHP1"
"192" "YBL059C-A" "insignificant" "CMC2"
"193" "YBL059W" "insignificant" ""
"194" "YBL060W" "insignificant" "YEL1"
"195" "YBL061C" "insignificant" "SKT5"
"196" "YBL062W" "insignificant" ""
"197" "YBL063W" "insignificant" "KIP1"
"198" "YBL064C" "insignificant" "PRX1"
"199" "YBL065W" "insignificant" ""
"200" "YBL066C" "insignificant" "SEF1"
"201" "YBL067C" "cluster4" "UBP13"
"202" "YBL068W" "cluster3" "PRS4"
"203" "YBL069W" "insignificant" "AST1"
"204" "YBL070C" "insignificant" ""
"205" "YBL071C" "insignificant" ""
"206" "YBL071C-B" "insignificant" ""
"207" "YBL071W-A" "insignificant" "KTI11"
"208" "YBL072C" "insignificant" "RPS8A"
"209" "YBL073W" "insignificant" ""
"210" "YBL074C" "insignificant" "AAR2"
"211" "YBL075C" "insignificant" "SSA3"
"212" "YBL076C" "insignificant" "ILS1"
"213" "YBL077W" "insignificant" ""
"214" "YBL078C" "insignificant" "ATG8"
"215" "YBL079W" "insignificant" "NUP170"
"216" "YBL080C" "insignificant" "PET112"
"217" "YBL081W" "insignificant" ""
"218" "YBL082C" "insignificant" "ALG3"
"219" "YBL084C" "insignificant" "CDC27"
"220" "YBL085W" "insignificant" "BOI1"
"221" "YBL086C" "insignificant" ""
"222" "YBL087C" "insignificant" "RPL23A"
"223" "YBL088C" "insignificant" "TEL1"
"224" "YBL089W" "insignificant" "AVT5"
"225" "YBL090W" "insignificant" "MRP21"
"226" "YBL091C" "insignificant" "MAP2"
"227" "YBL091C-A" "insignificant" "SCS22"
"228" "YBL092W" "insignificant" "RPL32"
"229" "YBL093C" "insignificant" "ROX3"
"230" "YBL094C" "insignificant" ""
"231" "YBL095W" "insignificant" "MRX3"
"232" "YBL096C" "insignificant" ""
"233" "YBL097W" "insignificant" "BRN1"
"234" "YBL098W" "insignificant" "BNA4"
"235" "YBL099W" "insignificant" "ATP1"
"236" "YBL100C" "insignificant" ""
"237" "YBL100W-B" "insignificant" NA
"238" "YBL100W-C" "insignificant" ""
"239" "YBL101C" "cluster2" "ECM21"
"240" "YBL102W" "insignificant" "SFT2"
"241" "YBL103C" "insignificant" "RTG3"
"242" "YBL104C" "insignificant" "SEA4"
"243" "YBL105C" "insignificant" "PKC1"
"244" "YBL106C" "insignificant" "SRO77"
"245" "YBL107C" "insignificant" "MIX23"
"246" "YBL107W-A" "insignificant" ""
"247" "YBL108C-A" "insignificant" "PAU9"
"248" "YBL108W" "insignificant" ""
"249" "YBL109W" "insignificant" ""
"250" "YBL111C" "insignificant" ""
"251" "YBL112C" "insignificant" ""
"252" "YBL113C" "insignificant" ""
"253" "YBL113W-A" "insignificant" ""
"254" "YBR001C" "insignificant" "NTH2"
"255" "YBR002C" "insignificant" "RER2"
"256" "YBR003W" "insignificant" "COQ1"
"257" "YBR004C" "insignificant" "GPI18"
"258" "YBR005W" "insignificant" "RCR1"
"259" "YBR006W" "insignificant" "UGA2"
"260" "YBR007C" "insignificant" "DSF2"
"261" "YBR008C" "insignificant" "FLR1"
"262" "YBR009C" "cluster5" "HHF1"
"263" "YBR010W" "cluster5" "HHT1"
"264" "YBR011C" "insignificant" "IPP1"
"265" "YBR012W-B" "insignificant" NA
"266" "YBR014C" "insignificant" "GRX7"
"267" "YBR015C" "insignificant" "MNN2"
"268" "YBR016W" "insignificant" ""
"269" "YBR017C" "insignificant" "KAP104"
"270" "YBR018C" "insignificant" "GAL7"
"271" "YBR019C" "cluster2" "GAL10"
"272" "YBR020W" "insignificant" "GAL1"
"273" "YBR021W" "insignificant" "FUR4"
"274" "YBR022W" "insignificant" "POA1"
"275" "YBR023C" "insignificant" "CHS3"
"276" "YBR024W" "insignificant" "SCO2"
"277" "YBR025C" "insignificant" "OLA1"
"278" "YBR026C" "insignificant" "ETR1"
"279" "YBR027C" "insignificant" ""
"280" "YBR028C" "insignificant" "YPK3"
"281" "YBR029C" "insignificant" "CDS1"
"282" "YBR030W" "insignificant" "RKM3"
"283" "YBR031W" "insignificant" "RPL4A"
"284" "YBR032W" "insignificant" ""
"285" "YBR033W" "insignificant" "EDS1"
"286" "YBR034C" "insignificant" "HMT1"
"287" "YBR035C" "insignificant" "PDX3"
"288" "YBR036C" "insignificant" "CSG2"
"289" "YBR037C" "insignificant" "SCO1"
"290" "YBR038W" "cluster5" "CHS2"
"291" "YBR039W" "insignificant" "ATP3"
"292" "YBR040W" "insignificant" "FIG1"
"293" "YBR041W" "insignificant" "FAT1"
"294" "YBR042C" "insignificant" "CST26"
"295" "YBR043C" "insignificant" "QDR3"
"296" "YBR044C" "cluster4" "TCM62"
"297" "YBR045C" "insignificant" "GIP1"
"298" "YBR046C" "insignificant" "ZTA1"
"299" "YBR047W" "insignificant" "FMP23"
"300" "YBR048W" "insignificant" "RPS11B"
"301" "YBR049C" "insignificant" "REB1"
"302" "YBR050C" "insignificant" "REG2"
"303" "YBR051W" "insignificant" ""
"304" "YBR052C" "insignificant" "RFS1"
"305" "YBR053C" "insignificant" ""
"306" "YBR054W" "insignificant" "YRO2"
"307" "YBR055C" "insignificant" "PRP6"
"308" "YBR056C-B" "insignificant" ""
"309" "YBR056W" "cluster2" ""
