"GeneID" "Cluster" "Name"
"187" "YBL054W" "cluster6" "TOD6"
"188" "YBL055C" "cluster5" ""
"189" "YBL056W" "insignificant" "PTC3"
"190" "YBL057C" "insignificant" "PTH2"
"191" "YBL058W" "cluster2" "SHP1"
"192" "YBL059C-A" "insignificant" "CMC2"
"193" "YBL059W" "insignificant" ""
"194" "YBL060W" "insignificant" "YEL1"
"195" "YBL061C" "cluster1" "SKT5"
"196" "YBL062W" "insignificant" ""
"197" "YBL063W" "cluster1" "KIP1"
"198" "YBL064C" "cluster8" "PRX1"
"199" "YBL065W" "insignificant" ""
"200" "YBL066C" "insignificant" "SEF1"
"201" "YBL067C" "cluster1" "UBP13"
"202" "YBL068W" "cluster5" "PRS4"
"203" "YBL069W" "insignificant" "AST1"
"204" "YBL070C" "insignificant" ""
"205" "YBL071C" "insignificant" ""
"206" "YBL071C-B" "insignificant" ""
"207" "YBL071W-A" "cluster4" "KTI11"
"208" "YBL072C" "cluster7" "RPS8A"
"209" "YBL073W" "insignificant" ""
"210" "YBL074C" "cluster2" "AAR2"
"211" "YBL075C" "cluster3" "SSA3"
"212" "YBL076C" "cluster7" "ILS1"
"213" "YBL077W" "insignificant" ""
"214" "YBL078C" "insignificant" "ATG8"
"215" "YBL079W" "insignificant" "NUP170"
"216" "YBL080C" "cluster2" "PET112"
"217" "YBL081W" "cluster6" ""
"218" "YBL082C" "cluster10" "ALG3"
"219" "YBL084C" "insignificant" "CDC27"
"220" "YBL085W" "insignificant" "BOI1"
"221" "YBL086C" "cluster3" ""
"222" "YBL087C" "cluster7" "RPL23A"
"223" "YBL088C" "cluster2" "TEL1"
"224" "YBL089W" "insignificant" "AVT5"
"225" "YBL090W" "insignificant" "MRP21"
"226" "YBL091C" "cluster4" "MAP2"
"227" "YBL091C-A" "cluster2" "SCS22"
"228" "YBL092W" "cluster7" "RPL32"
"229" "YBL093C" "cluster1" "ROX3"
"230" "YBL094C" "insignificant" ""
"231" "YBL095W" "insignificant" "MRX3"
"232" "YBL096C" "insignificant" ""
"233" "YBL097W" "cluster2" "BRN1"
"234" "YBL098W" "cluster4" "BNA4"
"235" "YBL099W" "insignificant" "ATP1"
"236" "YBL100C" "insignificant" ""
"237" "YBL100W-B" "insignificant" NA
"238" "YBL100W-C" "insignificant" ""
"239" "YBL101C" "insignificant" "ECM21"
"240" "YBL102W" "cluster2" "SFT2"
"241" "YBL103C" "insignificant" "RTG3"
"242" "YBL104C" "insignificant" "SEA4"
"243" "YBL105C" "insignificant" "PKC1"
"244" "YBL106C" "cluster2" "SRO77"
"245" "YBL107C" "insignificant" "MIX23"
"246" "YBL107W-A" "insignificant" ""
"247" "YBL108C-A" "insignificant" "PAU9"
"248" "YBL108W" "insignificant" ""
"249" "YBL109W" "insignificant" ""
"250" "YBL111C" "insignificant" ""
"251" "YBL112C" "insignificant" ""
"252" "YBL113C" "insignificant" ""
"253" "YBL113W-A" "insignificant" ""
"254" "YBR001C" "cluster3" "NTH2"
"255" "YBR002C" "cluster5" "RER2"
"256" "YBR003W" "insignificant" "COQ1"
"257" "YBR004C" "cluster2" "GPI18"
"258" "YBR005W" "cluster3" "RCR1"
"259" "YBR006W" "insignificant" "UGA2"
"260" "YBR007C" "cluster1" "DSF2"
"261" "YBR008C" "insignificant" "FLR1"
"262" "YBR009C" "cluster4" "HHF1"
"263" "YBR010W" "cluster4" "HHT1"
"264" "YBR011C" "insignificant" "IPP1"
"265" "YBR012W-B" "insignificant" NA
"266" "YBR014C" "cluster2" "GRX7"
"267" "YBR015C" "insignificant" "MNN2"
