"GeneID" "Cluster" "Name"
"307" "YBR055C" "cluster4" "PRP6"
"308" "YBR056C-B" "insignificant" ""
"309" "YBR056W" "insignificant" ""
"310" "YBR056W-A" "cluster9" ""
"311" "YBR057C" "cluster4" "MUM2"
"312" "YBR058C" "insignificant" "UBP14"
"313" "YBR058C-A" "insignificant" "TSC3"
"314" "YBR059C" "cluster6" "AKL1"
"315" "YBR060C" "cluster4" "ORC2"
"316" "YBR061C" "cluster2" "TRM7"
"317" "YBR062C" "insignificant" ""
"318" "YBR063C" "insignificant" ""
"319" "YBR065C" "insignificant" "ECM2"
"320" "YBR066C" "cluster7" "NRG2"
"321" "YBR067C" "cluster9" "TIP1"
"322" "YBR068C" "cluster7" "BAP2"
"323" "YBR069C" "cluster2" "TAT1"
"324" "YBR070C" "cluster4" "ALG14"
"325" "YBR071W" "cluster6" ""
"326" "YBR072C-A" "insignificant" ""
"327" "YBR072W" "cluster10" "HSP26"
"328" "YBR073W" "cluster4" "RDH54"
"329" "YBR074W" "cluster4" "PFF1"
"330" "YBR076C-A" "insignificant" ""
"331" "YBR076W" "insignificant" "ECM8"
"332" "YBR077C" "insignificant" "SLM4"
"333" "YBR078W" "cluster2" "ECM33"
"334" "YBR079C" "cluster2" "RPG1"
"335" "YBR080C" "insignificant" "SEC18"
"336" "YBR081C" "insignificant" "SPT7"
"337" "YBR082C" "cluster4" "UBC4"
"338" "YBR083W" "cluster7" "TEC1"
"339" "YBR084C-A" "cluster2" "RPL19A"
"340" "YBR084W" "cluster2" "MIS1"
"341" "YBR085C-A" "cluster3" ""
"342" "YBR085W" "insignificant" "AAC3"
"343" "YBR086C" "cluster4" "IST2"
"344" "YBR087W" "insignificant" "RFC5"
"345" "YBR088C" "cluster8" "POL30"
"346" "YBR089C-A" "cluster6" "NHP6B"
"347" "YBR089W" "cluster5" ""
"348" "YBR090C" "insignificant" ""
"349" "YBR091C" "cluster7" "TIM12"
"350" "YBR092C" "cluster8" "PHO3"
"351" "YBR093C" "cluster3" "PHO5"
"352" "YBR094W" "insignificant" "PBY1"
"353" "YBR095C" "insignificant" "RXT2"
"354" "YBR096W" "cluster4" ""
"355" "YBR097W" "insignificant" "VPS15"
"356" "YBR098W" "cluster6" "MMS4"
"357" "YBR099C" "insignificant" ""
"358" "YBR101C" "insignificant" "FES1"
"359" "YBR102C" "insignificant" "EXO84"
"360" "YBR103C-A" "insignificant" ""
"361" "YBR103W" "cluster4" "SIF2"
"362" "YBR104W" "cluster2" "YMC2"
"363" "YBR105C" "cluster6" "VID24"
